District,Location
JALANDHAR,Sarih Pz-M
JALANDHAR,Shahkot(d)
JALANDHAR,Shahkot(s)
JALANDHAR,Skarar Pur-Pz
JALANDHAR,Sultanpur-Pz
JALANDHAR,Talwan-Pz
JALANDHAR,Talwani Madho-Pz
JALANDHAR,Thanda-Pz
JALANDHAR,Turaan-D
JALANDHAR,Turaan-M
JALANDHAR,Turaan-S
JALANDHAR,Udhopur
KAPURTHALA,Bauril Harnampur-Pz
KAPURTHALA,Begowal-Pz
KAPURTHALA,Bhanoki-Pz
KAPURTHALA,Bhatnura Khurd- D
KAPURTHALA,Bhatnura Khurd- M
KAPURTHALA,Bhatnura Khurd- S
KAPURTHALA,Bhawanipur-Pz
KAPURTHALA,Bholath D
KAPURTHALA,Bholath M
KAPURTHALA,Bholath S
KAPURTHALA,Chakoke-Pz
KAPURTHALA,Dhilwan
KAPURTHALA,Hamira-Pz
KAPURTHALA,Hazipur-Pz
KAPURTHALA,Hussainpura-D Pz
KAPURTHALA,Hussainpura-M Pz
KAPURTHALA,Hussainpura-S Pz
KAPURTHALA,Hussainpura-VS Pz
KAPURTHALA,Jhalbibri-Pz
KAPURTHALA,Kapurthala(deep)
KAPURTHALA,Kapurthala1 (d)
KAPURTHALA,Kapurthala2 (s)
KAPURTHALA,Karnail Ganju-Pz
KAPURTHALA,Kishanpur
KAPURTHALA,Maheru-Pz
KAPURTHALA,Miani Bola-Pz
KAPURTHALA,Mithra-Pz
KAPURTHALA,Nadala
KAPURTHALA,Nangal Lubhana-Pz
KAPURTHALA,Nathu Chahal-Pz
KAPURTHALA,Nurpur Janoa-Pz
KAPURTHALA,Paazian-Pz
KAPURTHALA,Phagwara D Pz
KAPURTHALA,Phagwara2 (s)
KAPURTHALA,Rawalpindi-Pz
KAPURTHALA,Sangatpur-Pz
KAPURTHALA,Shalapur Dona-Pz
KAPURTHALA,Sultanpur1 (d)
KAPURTHALA,Sultanpur2 (s)
KAPURTHALA,Thikriwali-Pz
LUDHIANA,Alamgir-Pz
LUDHIANA,Aliwal-Pz
LUDHIANA,Basian Bet-D
LUDHIANA,Basian Bet-M
LUDHIANA,Basian Bet-S
LUDHIANA,Bassian MGOW
LUDHIANA,Begowal
LUDHIANA,Bhagwanpur-Pz
LUDHIANA,Bhahlolpur-DW
LUDHIANA,Bharthala Randhawa-Pz
LUDHIANA,Bhikhi Khatron-Pz
LUDHIANA,Bilaspur-Pz
LUDHIANA,Chankoian Khurd-Pz
LUDHIANA,Chaunta-Pz
LUDHIANA,Chhapar-Pz
LUDHIANA,Dinnamder-Pz
LUDHIANA,Dodpur-Pz
LUDHIANA,Doraha
LUDHIANA,Doraha-Pz
LUDHIANA,Galibkalan-Pz
LUDHIANA,Gohaur-Pz
LUDHIANA,Gopalpur 1(d)
LUDHIANA,Gopalpur 2(s)
LUDHIANA,Hallawara-Pz-M
LUDHIANA,Hallawara-Pz-S
LUDHIANA,Hallwara -Pz-S
LUDHIANA,Hambowal-Pz
LUDHIANA,Harnampur
LUDHIANA,Hedon-Pz
LUDHIANA,Ikloha-Pz
LUDHIANA,Jagraon 1(d)
LUDHIANA,Kalsian
LUDHIANA,Kaonke Kalan
LUDHIANA,Katanikalan-Pz
LUDHIANA,Khandur
LUDHIANA,Kishangarh-Pz
LUDHIANA,Kishanpur-Pz
LUDHIANA,Lalan1
LUDHIANA,Lelon-Pz
LUDHIANA,Lil- II Pz
LUDHIANA,Lil-Pz III
LUDHIANA,Lodhiwal-Pz
LUDHIANA,Lohara-Pz
LUDHIANA,Machhiwara-Pz
LUDHIANA,Maksudra
LUDHIANA,Maksudra-Pz
LUDHIANA,Manak Majra-Pz
LUDHIANA,Mangat-Pz
LUDHIANA,Mangat-Pz-D
LUDHIANA,Mangat-Pz-M
LUDHIANA,Mangat-Pz-S
LUDHIANA,Manoke-Pz
LUDHIANA,Mansuran-MGOW
LUDHIANA,Mehduda
LUDHIANA,Mehma Singh Wala-Pz
LUDHIANA,Mushkabad
LUDHIANA,Nelokalan
LUDHIANA,Nurpur-Pz
LUDHIANA,P.A.U.Ludhiana 1(d)
LUDHIANA,P.A.U.Ludhiana 2(s)
LUDHIANA,Pabbian-Pz
LUDHIANA,Pandori-Pz
LUDHIANA,Payal-Pz
LUDHIANA,Punjeta
LUDHIANA,Raikot-Pz
LUDHIANA,Rajona Khurd
LUDHIANA,Rashin
LUDHIANA,Rasulpur
LUDHIANA,Rattewal-Pz
LUDHIANA,Roomi-Pz
LUDHIANA,Roshiana-Pz
LUDHIANA,Sajaywal-Pz
LUDHIANA,Samrala 1(d)
LUDHIANA,Samrala 2(s)
LUDHIANA,Sanewal-Pz
LUDHIANA,Sangatpura-Pz
